CO,H2,NO,H2S,NH3,VOC,CO2,Results
0.022909312,0.43036942,0.065218444,0.108777638,0.131919762,0.119338103,0.102806217,1
0.01690447,0.459918246,0.071947021,0.114810347,0.146430658,0.128898951,0.12610528,1
0.021409282,0.486866722,0.080878072,0.119776724,0.148447536,0.142967039,0.142384562,1
0.020909271,0.512209573,0.082842739,0.128325899,0.157212002,0.154098559,0.16208776,1
0.027127018,0.541033244,0.089729854,0.129575874,0.159178179,0.165753637,0.180592336,1
0.024150117,0.560716356,0.094308052,0.136097466,0.167637873,0.174976774,0.209604303,1
0.025230399,0.5833957,0.098129823,0.143570801,0.172740767,0.183563783,0.227070755,1
0.03110861,0.604026935,0.099302208,0.144980568,0.178889234,0.192755706,0.242563561,1
0.02691769,0.623346607,0.102594531,0.149569206,0.182639688,0.200309621,0.255177584,1
0.029107725,0.643173993,0.105710371,0.151568675,0.187566932,0.209146776,0.26942934,1
0.016094401,0.719581775,0.054662766,0.081512032,0.093768216,0.162081388,0.097686272,1
0.021221195,0.7495274,0.064348738,0.089188548,0.101873625,0.17436731,0.10650177,1
0.024157282,0.792762954,0.065712168,0.09466061,0.104276447,0.19190217,0.121773618,1
0.005686055,0.826922306,0.071022906,0.102298677,0.11917242,0.19370441,0.137940754,1
0.021666529,0.85760342,0.076502837,0.106668721,0.126566289,0.214798548,0.158186041,1
0.024091486,0.887354929,0.078472123,0.10904382,0.125858215,0.225685882,0.171951119,1
0.025343818,0.914009554,0.082582799,0.112919805,0.139480043,0.237973977,0.180032699,1
0.02656958,0.937694411,0.09111987,0.116631104,0.138901815,0.247326724,0.205218564,1
0.045299258,0.954474238,0.093708181,0.120787803,0.144877286,0.269188775,0.209797296,1
0.037302634,0.9809833,0.095789038,0.125038073,0.145048763,0.271455687,0.224601641,1
0.0134846,0.206386264,0.041643379,0.050046534,0.066361018,0.081039593,0.082612238,1
0.012984135,0.218246119,0.046075849,0.055904111,0.076221047,0.087937686,0.096792117,1
0.004591141,0.238223815,0.05170068,0.057452298,0.085938814,0.094411697,0.112861347,1
0.016275092,0.240698311,0.051797905,0.064803699,0.090837141,0.103751878,0.144103238,1
0.012489265,0.261203209,0.056960466,0.062887416,0.094081568,0.110650879,0.150107987,1
0.013494369,0.268863007,0.058713728,0.069581934,0.098423424,0.11606394,0.165778742,1
0.012567461,0.283134051,0.061019002,0.071174679,0.100952185,0.121795565,0.177886722,1
0.014221131,0.29369954,0.063999452,0.069054288,0.10324239,0.130393272,0.196911925,1
0.017718593,0.305233593,0.067388964,0.073761218,0.108103921,0.133542112,0.199151632,1
0.014552825,0.319110523,0.06788468,0.072995794,0.108860229,0.139085232,0.220888373,1
0.024302958,0.551213566,0.053835194,0.082360888,0.107654102,0.142600747,0.138861488,1
0.027615651,0.586751935,0.058244958,0.087117472,0.11887833,0.160505514,0.162263466,1
0.024142141,0.6241135,0.066005884,0.093602162,0.126292061,0.17525417,0.174268214,1
0.027343743,0.656551499,0.070062781,0.098976857,0.137387526,0.187766249,0.197463685,1
0.027253107,0.684700833,0.075629659,0.106185194,0.146812466,0.200108369,0.212452299,1
0.026662492,0.71628984,0.078837584,0.112007142,0.155280206,0.210020706,0.24145637,1
0.026435408,0.742713037,0.083390123,0.117978174,0.161244432,0.220694067,0.247982577,1
0.02941805,0.770188459,0.085976944,0.123536772,0.167682692,0.22918357,0.276102045,1
0.027081361,0.793037478,0.093239543,0.127379982,0.173444458,0.237198796,0.29416102,1
0.030551887,0.816322708,0.094895079,0.130513918,0.182393946,0.247583184,0.309553834,1
0.019346401,0.341248184,0.034876634,0.072473868,0.10311945,0.120042921,0.191034103,1
0.027963803,0.367314572,0.03922853,0.074207194,0.104249765,0.136513734,0.210910507,1
0.023908089,0.390809981,0.041628804,0.079818167,0.118276717,0.146391281,0.230661224,1
0.025428652,0.415468601,0.047134736,0.08389387,0.124956744,0.158429276,0.247125473,1
0.024583601,0.431519944,0.051397743,0.090377971,0.131859071,0.165734456,0.280355982,1
0.023181168,0.454855557,0.054654056,0.097153114,0.141269334,0.17543739,0.288782881,1
0.02405961,0.474494959,0.055532891,0.098317653,0.143451656,0.185989574,0.3091791,1
0.027140155,0.496957984,0.053656066,0.105847026,0.144060642,0.195996488,0.32041441,1
0.023577005,0.512619731,0.059833819,0.107117393,0.151501495,0.204477125,0.334213462,1
0.026671345,0.531838405,0.059639857,0.11005064,0.155812379,0.212267246,0.344185853,1
0.005310457,0.084999399,0.051368225,0.087494883,0.110925992,0.051186355,0.116785484,1
0.004591082,0.090661153,0.054742493,0.090476573,0.121250325,0.057291511,0.133818887,1
0.007857805,0.098918101,0.057831177,0.097084235,0.131428564,0.064479601,0.14603479,1
0.007079316,0.103557668,0.063240702,0.103535894,0.136635151,0.068910683,0.173688205,1
0.009536332,0.107856506,0.064445835,0.106261397,0.151529051,0.074411345,0.201626415,1
0.006840633,0.112463579,0.068278325,0.110948056,0.156601609,0.07934953,0.215274144,1
0.005133467,0.115432216,0.069957532,0.116673984,0.166512303,0.08445675,0.22750852,1
0.008548658,0.121212661,0.070167161,0.120144847,0.169879116,0.089432823,0.237763492,1
0.010745604,0.122501417,0.074051981,0.126465652,0.180815369,0.096049128,0.250142754,1
0.010988713,0.126485422,0.075416797,0.126474333,0.185583058,0.09828565,0.264197915,1
0.031351261,0.268947771,0.019715948,0.094247634,0.076076986,0.064243422,0.073323599,1
0.03028826,0.288293107,0.021883316,0.099544673,0.077168715,0.078705664,0.084021544,1
0.032265257,0.308793835,0.024608609,0.104310977,0.082982942,0.087363237,0.094115048,1
0.030942318,0.325331064,0.029494704,0.107665425,0.082029719,0.095069842,0.114066364,1
0.034415546,0.34581507,0.032031834,0.110372342,0.083650054,0.102152172,0.114315679,1
0.010718246,0.366293503,0.034506242,0.112392797,0.087127632,0.107081817,0.122676827,1
0.030018556,0.381575254,0.031293942,0.115596192,0.088826937,0.120851434,0.145078231,1
0.02367008,0.398378127,0.032675582,0.115709872,0.075904127,0.122201709,0.153704811,1
0.029614962,0.410700606,0.032065362,0.120070771,0.088439001,0.130496881,0.15916466,1
0.031108035,0.430174682,0.030694898,0.119934694,0.086682084,0.143477655,0.163860136,1
0.037611531,0.317884005,0.015966909,0.102853918,0.068636149,0.101408307,0.11287479,1
0.040528498,0.350560731,0.020781079,0.116327839,0.056039909,0.123085954,0.134643345,1
0.031580531,0.368648245,0.022014954,0.118307981,0.073785249,0.124961629,0.150214378,1
0.040963426,0.4018457,0.006127324,0.128342149,0.077129219,0.139323153,0.182192158,1
0.03622559,0.414057878,0.022401593,0.132346918,0.085786593,0.14799076,0.185020929,1
0.044284359,0.435704839,0.027413285,0.120750522,0.089787042,0.162177554,0.201505925,1
0.042136129,0.450246426,0.027998188,0.134496022,0.098889128,0.169795688,0.214454264,1
0.055499538,0.454171255,0.024980908,0.138467598,0.10325664,0.180319206,0.224265375,1
0.046217097,0.476602769,0.030680532,0.142745686,0.106118902,0.184738819,0.253010713,1
0.065481066,0.475622591,0.038085063,0.145495574,0.115039243,0.189719862,0.249586821,1
0.008465544,0.303067595,0.033094642,0.095182767,0.106726342,0.096266633,0.119340466,1
0.025630955,0.318103975,0.036567892,0.095858045,0.105869362,0.104488983,0.129632105,1
0.023409771,0.337916565,0.038194803,0.103068291,0.109276693,0.114770101,0.148746065,1
0.028391179,0.352788097,0.044777669,0.104069195,0.116637226,0.124193132,0.163430744,1
0.032566462,0.367604679,0.047514262,0.113316662,0.118598911,0.130761182,0.182834978,1
0.025853068,0.385638738,0.057131164,0.102084348,0.1151959,0.139346751,0.195825553,1
0.028262239,0.39984416,0.05473858,0.114443566,0.121225874,0.144397957,0.209879031,1
0.013806665,0.418728674,0.057146685,0.119702013,0.125356737,0.152198757,0.227031737,1
0.030950051,0.429758653,0.058779463,0.120691756,0.130371287,0.158110363,0.240689006,1
0.030218385,0.447868172,0.05849882,0.134167715,0.112260904,0.169191581,0.259097018,1
0.027970071,0.250295845,0.035816729,0.086746955,0.097028039,0.08482314,0.1249262,1
